sample_id,scenario_id,url,hostname,claimed_service,known_brand,official_domain,source,license,collection_date,environment_type,ground_truth,threat_types,expected_behavior,expected_data_target,annotation_method,annotation_confidence,label,url_length,hostname_length,path_length,query_length,fragment_length,subdomain_count,path_depth,query_parameter_count,special_character_count,digit_count,letter_count,encoded_character_count,entropy,ip_address_host,punycode_present,at_symbol_present,hyphen_count,underscore_count,suspicious_token_count,brand_keyword_count,brand_domain_mismatch,domain_length,subdomain_length,domain_is_ip,punycode,domain_similarity_to_brand,homograph_indicator,domain_known_to_registry,domain_matches_claimed_service,dom_element_count,form_count,input_count,button_count,iframe_count,hidden_element_count,external_resource_count,external_script_count,inline_script_count,login_form_detected,payment_form_detected,registration_form_detected,password_form_detected,file_upload_form_detected,field_count,sensitive_field_count,hidden_field_count,same_origin_submission,cross_origin_submission,cross_registrable_domain_submission,form_secure_transport,autocomplete_present,password_field_detected,otp_field_detected,payment_field_detected,identity_field_detected,redirect_count,redirect_chain_length,cross_domain_redirect,cross_registrable_domain_redirect,redirect_to_ip,redirect_to_punycode,redirect_to_similar_brand,redirect_chain_contains_unknown_domain,claimed_service_category,official_domain_match,authentication_domain_match,authorization_domain_match,brand_impersonation_indicator,identity_status,credential_requested,password_requested,otp_requested,financial_data_requested,identity_data_requested,personal_data_requested,device_data_requested,unexpected_data_request,purpose_mismatch,possibly_excessive,deceptive_collection_indicator
phish_bank_011,bank_impersonation_harvest,https://secure-bank.example.net/account?next=login,secure-bank.example.net,bank,bankone,bankone.com,synthetic_controlled_adversarial,CC-BY-4.0,2026-02-10,adversarial_fixture,phishing,"credential_harvesting,brand_impersonation",IDENTITY_MISMATCH,credential_theft,expert_labeled,1.0,phishing,50,23,7,10,0,1,1,1,9,0,41,0,4.304,0,0,0,1,0,3,0,0,23,11,0,0,0.0,0,0,0,5,1,2,1,0,0,1,0,0,1,0,0,1,0,2,1,0,0,1,1,1,1,1,0,0,0,2,2,1,1,0,0,0,1,bank,0,0,0,1,mismatched,1,1,0,0,0,1,0,1,0,0,1
phish_paypal_012,paypal_mfa_harvest,https://paypal-security-update.example.net/account/signin?cmd=verify,paypal-security-update.example.net,payments,paypal,paypal.com,synthetic_controlled_adversarial,CC-BY-4.0,2026-02-12,adversarial_fixture,phishing,"otp_harvesting,credential_harvesting,brand_impersonation",IDENTITY_MISMATCH,otp_credential_theft,expert_labeled,1.0,phishing,68,34,14,10,0,1,2,1,11,0,57,0,4.433,0,0,0,2,0,5,1,0,34,22,0,0,1.0,0,0,0,5,1,2,1,0,0,1,0,0,1,0,0,1,0,2,2,0,0,1,1,1,1,1,1,0,0,3,3,1,1,0,0,0,1,payments,0,0,0,1,mismatched,1,1,1,0,0,1,0,1,1,0,1
phish_google_013,google_oauth_impersonation,https://login.google.com.accounts-security.info/signin,login.google.com.accounts-security.info,identity_provider,google,google.com,synthetic_controlled_adversarial,CC-BY-4.0,2026-02-14,adversarial_fixture,phishing,"credential_harvesting,subdomain_spoofing",IDENTITY_MISMATCH,sso_harvesting,expert_labeled,1.0,phishing,54,39,6,0,0,3,1,0,9,0,45,0,4.0978,0,0,0,1,0,3,1,0,39,16,0,0,1.0,0,1,1,5,1,2,1,0,0,1,0,0,1,0,0,1,0,2,2,0,0,1,1,1,1,1,1,0,0,2,2,1,1,0,0,0,0,identity_provider,1,1,1,1,verified,1,1,1,0,0,1,0,0,0,0,1
phish_ms_014,office365_urgent_update,https://office365-security-alert.example.org/owa/auth,office365-security-alert.example.org,productivity,microsoft,microsoft.com,synthetic_controlled_adversarial,CC-BY-4.0,2026-02-16,adversarial_fixture,phishing,"credential_harvesting,phishing_redirect",DECEPTIVE_INDICATOR,corporate_credentials,expert_labeled,1.0,phishing,53,36,8,0,0,1,2,0,9,3,41,0,4.4311,0,0,0,2,0,1,0,0,36,24,0,0,0.0,0,0,0,5,1,2,1,0,0,1,0,0,1,0,0,1,0,2,1,0,0,1,1,1,1,1,0,0,0,4,4,1,1,0,0,0,1,productivity,0,0,0,1,mismatched,1,1,0,0,0,1,0,1,1,0,1
phish_ip_015,raw_ip_credential_harvest,http://192.168.1.100/auth/login,192.168.1.100,unknown,unknown,unknown,synthetic_controlled_adversarial,CC-BY-4.0,2026-02-18,adversarial_fixture,phishing,"credential_harvesting,insecure_transport_ip",DECEPTIVE_INDICATOR,credential_theft,expert_labeled,1.0,phishing,31,13,10,0,0,2,2,0,8,10,13,0,4.0023,1,0,0,0,0,2,0,0,13,7,1,0,0.0,0,0,0,4,1,2,1,0,0,0,0,0,1,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,unknown,0,0,0,0,mismatched,1,1,0,0,0,1,0,1,0,0,1
phish_amazon_016,amazon_suspended_account,https://amazon-account-verification.example.co/signin,amazon-account-verification.example.co,retail,amazon,amazon.com,synthetic_controlled_adversarial,CC-BY-4.0,2026-02-19,adversarial_fixture,phishing,"brand_impersonation,credential_harvesting,otp_harvesting",IDENTITY_MISMATCH,retail_account_theft,expert_labeled,1.0,phishing,53,38,6,0,0,1,1,0,8,0,45,0,4.2498,0,0,0,2,0,2,1,0,38,27,0,0,1.0,0,0,0,5,1,2,1,0,0,1,0,0,1,0,0,1,0,2,2,0,0,1,1,1,1,1,1,0,0,2,2,1,1,0,0,0,1,retail,0,0,0,1,mismatched,1,1,1,0,0,1,0,1,1,0,1
phish_dropbox_017,dropbox_document_lure,https://dropbox-shared-document.example.biz/login,dropbox-shared-document.example.biz,storage,dropbox,dropbox.com,synthetic_controlled_adversarial,CC-BY-4.0,2026-02-20,adversarial_fixture,phishing,"brand_impersonation,credential_harvesting",IDENTITY_MISMATCH,file_storage_credentials,expert_labeled,1.0,phishing,49,35,5,0,0,1,1,0,8,0,41,0,4.4102,0,0,0,2,0,1,1,0,35,23,0,0,1.0,0,0,0,5,1,2,1,0,0,1,0,0,1,0,0,1,0,2,1,0,0,1,1,1,1,1,0,0,0,3,3,1,1,0,0,0,1,storage,0,0,0,1,mismatched,1,1,0,0,0,1,0,1,1,0,1
phish_stripe_018,stripe_kyc_harvest,https://stripe-identity-update.example.net/verify,stripe-identity-update.example.net,finance,stripe,stripe.com,synthetic_controlled_adversarial,CC-BY-4.0,2026-02-21,adversarial_fixture,phishing,"credential_harvesting,financial_phishing",IDENTITY_MISMATCH,financial_credentials,expert_labeled,1.0,phishing,49,34,6,0,0,1,1,0,8,0,41,0,4.0625,0,0,0,2,0,2,1,0,34,22,0,0,1.0,0,0,0,5,1,2,1,0,0,1,0,0,1,0,0,1,0,2,2,0,0,1,1,1,1,1,1,0,0,2,2,1,1,0,0,0,1,finance,0,0,0,1,mismatched,1,1,1,0,0,1,0,1,1,0,1
counter_bank_019,bank_counterfactual_cross_domain_action,https://auth.bankone.com/login,auth.bankone.com,bank,bankone,bankone.com,counterfactual_controlled_experiment,CC-BY-4.0,2026-02-22,controlled_lab,phishing,"credential_harvesting,cross_domain_injection",PURPOSE_MISMATCH,hijacked_submission,counterfactual_injection,1.0,phishing,30,16,5,0,0,1,1,0,6,0,24,0,4.0729,0,0,0,0,0,2,1,0,16,4,0,0,1.0,0,1,1,4,1,2,1,0,0,0,0,0,1,0,0,1,0,2,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,bank,1,1,1,0,verified,1,1,0,0,0,1,0,0,1,0,1
counter_paypal_020,paypal_counterfactual_excessive_data,https://signin.paypal.com/checkout,signin.paypal.com,payments,paypal,paypal.com,counterfactual_controlled_experiment,CC-BY-4.0,2026-02-22,controlled_lab,legitimate,possibly_excessive_prompt,POSSIBLY_EXCESSIVE,mfa_payment,counterfactual_injection,0.95,legitimate,34,17,8,0,0,1,1,0,6,0,28,0,4.1163,0,0,0,0,0,1,1,0,17,6,0,0,1.0,0,1,1,4,1,2,1,0,0,0,0,0,1,0,0,1,0,2,2,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,payments,1,1,1,0,verified,1,1,1,0,0,1,0,0,1,0,0
