sample_id,url,hostname,claimed_service,known_brand,official_domain,login_form_detected,password_field_detected,cross_origin_submission,redirect_count,cross_domain_redirect,credential_requested,password_requested,purpose_mismatch,brand_impersonation_indicator,label
bank_login_001,https://secure-bank.example.com/login?redirect=checkout,secure-bank.example.com,bank,BankOne,bankone.com,1,1,0,1,0,1,1,0,0,legitimate
bank_login_002,https://bankone.com/account/signin,bankone.com,bank,BankOne,bankone.com,1,1,0,0,0,1,1,0,0,legitimate
bank_login_003,https://secure-bank.example.net/account?next=login,secure-bank.example.net,bank,BankOne,bankone.com,1,1,1,2,1,1,1,0,1,phishing
bank_login_004,https://webmail-update.example.com/login,webmail-update.example.com,email,MailCorp,mailcorp.com,1,1,1,3,1,1,1,1,1,phishing
bank_login_005,https://auth.bankone.com/secure-login,auth.bankone.com,bank,BankOne,bankone.com,1,1,0,0,0,1,1,0,0,legitimate
bank_login_006,https://amazon-support.example.co/login,amazon-support.example.co,retail,Amazon,amazon.com,1,1,1,2,1,1,1,1,1,phishing
bank_login_007,https://services.paypal.com/signin,services.paypal.com,payments,PayPal,paypal.com,1,1,0,0,0,1,1,0,0,legitimate
bank_login_008,https://paypal-login.support.example.org,paypal-login.support.example.org,payments,PayPal,paypal.com,1,1,1,4,1,1,1,1,1,phishing
bank_login_009,https://signin.microsoftonline.com/owa,signin.microsoftonline.com,productivity,Microsoft,microsoft.com,1,1,0,0,0,1,1,0,0,legitimate
bank_login_010,https://microsoft-security-login.example.net,login.example.net,productivity,Microsoft,microsoft.com,1,1,1,3,1,1,1,1,1,phishing
unknown_login_011,https://example.com/login,example.com,unknown,Unknown,unknown,1,1,0,0,0,0,1,0,0,legitimate
unknown_login_012,https://random-service.example.org/signin,random-service.example.org,unknown,Unknown,unknown,1,1,1,2,1,1,1,1,1,phishing
safe_service_013,https://accounts.google.com/signin,accounts.google.com,productivity,Google,google.com,1,1,0,0,0,1,1,0,0,legitimate
safe_service_014,https://login.google.com/account,login.google.com,productivity,Google,google.com,1,1,1,1,1,1,1,0,1,phishing
safe_service_015,https://portal.office.com,portal.office.com,productivity,Microsoft,office.com,1,1,0,0,0,1,1,0,0,legitimate
safe_service_016,https://office365-login.example.com,office365-login.example.com,productivity,Microsoft,office.com,1,1,1,2,1,1,1,1,1,phishing
safe_service_017,https://secure-github.example.org,secure-github.example.org,software,GitHub,github.com,1,1,1,4,1,1,1,1,1,phishing
safe_service_018,https://github.com/login,github.com,software,GitHub,github.com,1,1,0,0,0,1,1,0,0,legitimate
safe_service_019,https://dropbox.com/login,dropbox.com,storage,Dropbox,dropbox.com,1,1,0,0,0,1,1,0,0,legitimate
safe_service_020,https://dropbox-login.example.net,dropbox-login.example.net,storage,Dropbox,dropbox.com,1,1,1,3,1,1,1,1,1,phishing
safe_service_021,https://login.linkedin.com,login.linkedin.com,professional,LinkedIn,linkedin.com,1,1,0,0,0,1,1,0,0,legitimate
safe_service_022,https://linkedin-security-update.example.com,linkedin-security-update.example.com,professional,LinkedIn,linkedin.com,1,1,1,2,1,1,1,1,1,phishing
safe_service_023,https://www.netflix.com/login,www.netflix.com,streaming,Netflix,netflix.com,1,1,0,0,0,1,1,0,0,legitimate
safe_service_024,https://netflix-verification.example.net,netflix-verification.example.net,streaming,Netflix,netflix.com,1,1,1,2,1,1,1,1,1,phishing
safe_service_025,https://support.apple.com,apple.com,consumer,Apple,apple.com,1,1,0,0,0,1,1,0,0,legitimate
safe_service_026,https://appleid-login.example.co,appleid-login.example.co,consumer,Apple,apple.com,1,1,1,3,1,1,1,1,1,phishing
safe_service_027,https://signin.stripe.com,signin.stripe.com,finance,Stripe,stripe.com,1,1,0,0,0,1,1,0,0,legitimate
safe_service_028,https://stripe-account-update.example.net,stripe-account-update.example.net,finance,Stripe,stripe.com,1,1,1,2,1,1,1,1,1,phishing
safe_service_029,https://login.salesforce.com,login.salesforce.com,enterprise,Salesforce,salesforce.com,1,1,0,0,0,1,1,0,0,legitimate
safe_service_030,https://salesforce-alert.example.net,salesforce-alert.example.net,enterprise,Salesforce,salesforce.com,1,1,1,3,1,1,1,1,1,phishing
safe_service_031,https://sslvpn.company.example.com,sslvpn.company.example.com,internal,Company,company.example.com,1,1,0,0,0,1,1,0,0,legitimate
safe_service_032,https://company-login.example.net,company-login.example.net,internal,Company,company.example.com,1,1,1,2,1,1,1,1,1,phishing
harvest_033,https://example.com/secure/customer-login,example.com,unknown,Unknown,unknown,1,1,1,5,1,1,1,1,1,phishing
harvest_034,https://example.net/login,example.net,unknown,Unknown,unknown,1,1,1,4,1,1,1,1,1,phishing
harvest_035,https://suspicious-portal.click/login,suspicious-portal.click,unknown,Unknown,unknown,1,1,1,2,1,1,1,1,1,phishing
harvest_036,https://verify-your-account.info,verify-your-account.info,unknown,Unknown,unknown,1,1,1,1,1,1,1,1,1,phishing
harvest_037,https://accounts-secure.xyz/signin,accounts-secure.xyz,unknown,Unknown,unknown,1,1,1,2,1,1,1,1,1,phishing
harvest_038,https://bankofamerica-login.example.io,bankofamerica-login.example.io,bank,BankOfAmerica,bankofamerica.com,1,1,1,4,1,1,1,1,1,phishing
harvest_039,https://secure-login.accountverify.co/account,secure-login.accountverify.co,unknown,Unknown,unknown,1,1,1,2,1,1,1,1,1,phishing
harvest_040,https://login.mybank.example.net,login.mybank.example.net,bank,BankOne,bankone.com,1,1,1,2,1,1,1,1,1,phishing
